Will it rain today?,WeatherForecast
Do I need an umbrella?,WeatherConditions
How much did it snow yesterday?,WeatherHistory
What's the hottest it's ever been in Las Vegas?,WeatherHistory
Should I go buy a new shovel?,WeatherForecast
Do I need to leave early for work?,WeatherConditions
How wet will it be this weekend?,WeatherForecast
When will the storms hit?,WeatherForecast
Shoud I put on suncreent?,WeatherConditions
Is today a beach day?,WeatherConditions
Should I be worried about hypothermia?,WeatherConditions
How windy is it?,WeatherConditions
What is the temperature?,WeatherConditions
Did it rain while I was gone?,WeatherHistory
When did the storm hit last night?,WeatherHistory
What's the weather supposed to be like on Christmas Day?,WeatherForecast
What was the weather like last Christmas?,WeatherHistory
Is it cold outside?,WeatherConditions
Should I wear shorts?,WeatherConditions
Do I need a jacket for tonight?,WeatherForecast
When was the last time It rained?,WeatherHistory
When is the next time it will rain?,WeatherForecast
Is it raining?,WeatherConditions
How often does it snow in Memphis?,WeatherHistory
What's the record high in Las Vegas?,WeatherHistory
What's the record low in Anchorage?,WeatherHistory
How's it look for my golf game tomorrow?,WeatherForecast
Do I need my heavy jacket right now?,WeatherConditions
Should I wear sunglasses?,WeatherConditions
When can I go to the beach?,WeatherForecast
What's the best month to go to the beach?,WeatherHistory
